horizon_minutes,model,mae,rmse,mape,accuracy_from_mape,r2,sample_count
15,linear_regression,1.4097181021963503,2.1289897969798526,5.14419554377335,94.85580445622665,0.9073261136612318,22100
15,naive_persistence,1.1433484176704787,2.3192876132699434,4.332287921195011,95.66771207880498,0.8900185521480614,22100
15,historical_average,1.6463440523671609,2.6925569312809343,5.986457644223724,94.01354235577628,0.8517686700698623,22100
15,lstm,2.8247195415151602,4.482682944162389,9.785783273987153,90.21421672601285,0.5891471905893019,22100
30,linear_regression,1.5477216371511708,2.3528748425006714,5.637245877059104,94.3627541229409,0.886803061446657,22100
30,historical_average,1.6416871896688114,2.6893527652981386,5.967486346185781,94.03251365381422,0.8521121229263197,22100
30,naive_persistence,1.4254298656774322,2.748969368356309,5.349162801745291,94.6508371982547,0.8454827998528616,22100
30,lstm,3.0459644601571614,4.660932976222094,10.538864579799416,89.46113542020058,0.5557957138530478,22100
45,linear_regression,1.6529816545919318,2.5349741045421155,5.997141390141306,94.00285860985869,0.8686478793698073,22100
45,historical_average,1.6356841730200227,2.685018070976307,5.945265514556338,94.05473448544366,0.8526383552614009,22100
45,naive_persistence,1.6336199111420644,3.0347087219290088,6.083313132796362,93.91668686720364,0.8117547354890389,22100
45,lstm,3.245274432039908,4.824489931294236,11.226719662209108,88.7732803377909,0.5242346130308713,22100
60,historical_average,1.6305333434646203,2.681670675556715,5.9252692696836275,94.07473073031638,0.8530233270725992,22100
60,linear_regression,1.7604370946701782,2.712885018396766,6.347908843938326,93.65209115606167,0.8495818300077131,22100
60,naive_persistence,1.8057918564982005,3.280947331835973,6.646971341104241,93.35302865889577,0.7799932305795043,22100
60,lstm,3.361345478808718,4.9821614029727375,11.441962589337153,88.55803741066285,0.49269036337725824,22100
